,recipient,commitment_amount_usd_constant
0,Austria,129042.0
1,Brazil,9626023770.0
2,Canada,55468.0
3,Chile,1374044788.0
4,Colombia,11908729854.0
5,Cyprus,34058399.0
6,Czech Republic,86892219.0
7,Estonia,35064108.0
8,Finland,73670.0
9,France,8227.0
10,Germany,60164.0
11,Hungary,122492665.0
12,India,44123402737.0
13,Italy,35589.0
14,Japan,124673.0
15,Korea,260900863.0
16,Kuwait,2917435.0
17,Latvia,31409867.0
18,Liechtenstein,118660.0
19,Lithuania,63523372.0
20,Poland,921274887.0
21,Portugal,113058.0
22,Qatar,1783675.0
23,Romania,401917230.0
24,Saudi Arabia,62527892.0
25,Slovak Republic,75255511.0
26,Slovenia,18991401.0
27,South Africa,10651045059.0
28,Switzerland,116971.0
29,Taiwan,33006181.0
30,Thailand,5812957147.0
31,United Arab Emirates,5777308.0
32,United States,104520072.0
